road_id,type,from_area,to_area,description,crosses_river,is_bridge,confidence,preferred,popularity,scenic_score,hot_route_group,hot_route_name,notes,geometry_wkt
R131,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path138; needs_bridge_check,"LINESTRING(440.52753 2662.257, 472.19388000000004 2755.8134)"
R132,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path139; needs_bridge_check,"LINESTRING(665 2769.5, 663.76968 3026.5379)"
R133,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path140; needs_bridge_check,"LINESTRING(1165.312 2775.3941, 1161.1471999999999 2996.8571)"
R134,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path141; needs_bridge_check,"LINESTRING(673.66327 1195.3251, 619.69825 1277.172, 202.36880000000002 1275.3732)"
R135,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path142; needs_bridge_check,"LINESTRING(805.87755 956.97959, 438.01603000000006 950.68367, 390.3469400000001 1024.4359, 283.3163300000001 1029.8324, 279.7186600000001 1099.0875, 198.77114000000012 1099.0875)"
R136,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path143; needs_bridge_check,"LINESTRING(805.87755 956.97959, 857.14431 858.04373)"
R137,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path144; needs_bridge_check,"LINESTRING(857.14431 858.04373, 1172.51 912.16775)"
R138,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path145; needs_bridge_check,"LINESTRING(857.14431 858.04373, 198.77114 851.74781)"
R139,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path146; needs_bridge_check,"LINESTRING(857.14431 858.04373, 814.87172 641.28426, 724.03061 644.88192, 688.05394 556.73907, 197.87172 553.1414)"
R140,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path147; needs_bridge_check,"LINESTRING(1034.3294 362.46501, 1163.8455000000001 440.71429)"
R141,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path148; needs_bridge_check,"LINESTRING(934.08806 1984.1416, 984.9997500000001 2102.2284999999997)"
R142,secondary_road,,,,no,no,0.75,no,0,0,,,source_id=path149; needs_bridge_check,"LINESTRING(1355.5237 2775.3941, 1453.4886999999999 2775.7775, 1452.5583 2965.3776000000003, 1619.8499 2966.277, 1618.9754 2776.4252, 1716.8553 2776.8083)"
R143,secondary_road,,,,no,no,0.75,yes,0.8,0.6,,,source_id=path150; needs_bridge_check,"LINESTRING(2175 2343, 2411.3367 2432.0233, 2631.6938999999998 2437.4197999999997)"
